# p2p microbenchmark: sweep message size from 0B to 50000B
# ./submit-clusterperf 2 2 clusterperf.py -r 0 --disjunct --transport basic+ofiud point2point --verbose --cpusPerServer 10 --servers 2 --count 100000 --size 50000

#     nodes  size (B)       ops       min       p50       p90       p99
          2     22100    100000      8.77     10.36     11.25     12.89
          2     22200    100000      8.72     10.29     11.17     12.89
          2     22300    100000      8.66     10.22     11.10     12.60
          2     22400    100000      8.66     10.26     11.17     12.63
          2     22500    100000      8.62     10.20     11.08     12.56
          2     22600    100000      8.74     10.33     11.23     12.92
          2     22700    100000      8.73     10.40     11.30     12.88
          2     22800    100000      8.73     10.40     11.30     12.82
          2     22900    100000      8.72     10.21     11.11     12.61
          2     23000    100000      8.72     10.26     11.16     12.64
          2     23100    100000      8.91     10.34     11.24     12.77
          2     23200    100000      8.79     10.39     11.28     12.81
          2     23300    100000      8.84     10.42     11.31     12.85
          2     23400    100000      8.89     10.38     11.28     12.73
          2     23500    100000      8.91     10.43     11.30     12.67
          2     23600    100000      8.78     10.35     11.25     12.66
          2     23700    100000      8.82     10.48     11.38     12.95
          2     23800    100000      8.91     10.44     11.36     12.86
          2     23900    100000      8.65     10.29     11.20     12.73
          2     24000    100000      8.77     10.44     11.36     12.83
          2     24100    100000      8.87     10.45     11.37     13.08
          2     24200    100000      8.94     10.54     11.45     13.03
          2     24300    100000      8.93     10.50     11.42     12.91
          2     24400    100000      8.75     10.35     11.26     12.76
          2     24500    100000      8.85     10.45     11.36     12.83
          2     24600    100000      8.96     10.53     11.42     12.88
          2     24700    100000      9.06     10.61     11.50     13.10
          2     24800    100000      8.93     10.53     11.43     13.09
          2     24900    100000      8.95     10.59     11.51     13.13
          2     25000    100000      9.22     10.71     11.61     13.12
          2     25100    100000      9.06     10.57     11.48     13.02
          2     25200    100000      8.95     10.56     11.48     13.09
          2     25300    100000      9.05     10.61     11.52     13.03
          2     25400    100000      8.89     10.45     11.36     12.94
          2     25500    100000      9.17     10.64     11.54     13.07
          2     25600    100000      8.77     10.40     11.32     12.86
          2     25700    100000      8.93     10.55     11.47     13.01
          2     25800    100000      9.00     10.62     11.54     13.10
          2     25900    100000      9.04     10.65     11.58     13.22
          2     26000    100000      9.06     10.66     11.58     13.23
          2     26100    100000      8.80     10.51     11.43     12.99
          2     26200    100000      9.05     10.67     11.59     13.20
          2     26300    100000      9.08     10.76     11.70     13.62
          2     26400    100000      9.03     10.75     11.71     13.74
          2     26500    100000      9.06     10.73     11.67     13.21
          2     26600    100000      9.07     10.69     11.62     13.19
          2     26700    100000      8.92     10.58     11.50     13.08
          2     26800    100000      9.01     10.63     11.55     13.15
          2     26900    100000      9.00     10.64     11.55     13.07
          2     27000    100000      9.04     10.78     11.71     13.23
          2     27100    100000      9.01     10.74     11.68     13.27
          2     27200    100000      9.10     10.70     11.65     13.17
          2     27300    100000      8.97     10.67     11.62     13.26
          2     27400    100000      9.06     10.70     11.64     13.24
          2     27500    100000      9.08     10.73     11.69     13.24
          2     27600    100000      9.24     10.87     11.80     13.35
          2     27700    100000      9.29     10.89     11.82     13.46
          2     27800    100000      9.04     10.73     11.66     13.33
          2     27900    100000      9.32     10.94     11.89     13.66
          2     28000    100000      9.22     10.84     11.80     13.51
          2     28100    100000      9.24     10.85     11.80     13.41
          2     28200    100000      9.28     10.87     11.81     13.35
          2     28300    100000      9.03     10.73     11.70     13.36
          2     28400    100000      9.31     10.94     11.90     13.62
          2     28500    100000      9.24     10.84     11.82     13.39
          2     28600    100000      9.19     10.68     11.64     13.23
          2     28700    100000      9.29     10.92     11.87     13.44
          2     28800    100000      9.23     10.89     11.85     13.37
          2     28900    100000      9.20     10.92     11.87     13.52
          2     29000    100000      9.08     10.81     11.77     13.40
          2     29100    100000      9.07     10.83     11.79     13.50
          2     29200    100000      9.45     11.01     11.97     13.46
          2     29300    100000      9.25     10.89     11.85     13.39
          2     29400    100000      9.20     10.93     11.91     13.54
          2     29500    100000      9.47     11.05     12.02     14.00
          2     29600    100000      9.20     10.95     11.92     14.04
          2     29700    100000      9.26     10.96     11.93     13.79
          2     29800    100000      9.44     11.03     12.01     13.42
          2     29900    100000      9.17     10.90     11.88     13.36
          2     30000    100000      9.50     11.03     12.00     13.93
          2     30100    100000      9.62     11.18     12.15     14.55
          2     30200    100000      9.59     11.16     12.13     13.71
          2     30300    100000      9.69     11.20     12.17     13.64
          2     30400    100000      9.48     11.10     12.08     13.56
          2     30500    100000      9.52     11.03     12.00     13.64
          2     30600    100000      9.52     11.13     12.11     14.00
          2     30700    100000      9.52     11.02     12.01     13.89
          2     30800    100000      9.56     11.25     12.23     13.86
          2     30900    100000      9.73     11.41     12.40     14.17
          2     31000    100000      9.73     11.27     12.26     13.95
          2     31100    100000      9.64     11.27     12.28     14.11
          2     31200    100000      9.66     11.24     12.26     14.07
          2     31300    100000      9.78     11.25     12.24     13.82
          2     31400    100000      9.62     11.20     12.19     13.80
          2     31500    100000      9.56     11.28     12.28     13.93
          2     31600    100000      9.69     11.21     12.23     13.97
          2     31700    100000      9.70     11.33     12.36     14.07
          2     31800    100000      9.79     11.34     12.34     13.99
          2     31900    100000      9.62     11.27     12.28     14.04
          2     32000    100000      9.77     11.40     12.41     14.25
          2     32100    100000      9.75     11.33     12.35     14.09
          2     32200    100000      9.69     11.31     12.32     14.02
          2     32300    100000      9.51     11.34     12.34     14.13
          2     32400    100000      9.70     11.31     12.34     14.04
          2     32500    100000      9.88     11.56     12.58     14.38
          2     32600    100000     10.00     11.55     12.60     14.28
          2     32700    100000      9.84     11.47     12.49     14.24
          2     32800    100000      9.85     11.46     12.49     14.37
          2     32900    100000      9.77     11.35     12.39     14.08
          2     33000    100000      9.94     11.51     12.54     14.21
          2     33100    100000      9.74     11.43     12.48     14.40
          2     33200    100000      9.90     11.55     12.60     14.39
          2     33300    100000      9.72     11.40     12.44     14.27
          2     33400    100000      9.75     11.50     12.54     14.31
          2     33500    100000      9.87     11.51     12.55     14.24
          2     33600    100000      9.76     11.54     12.59     14.38
          2     33700    100000      9.90     11.48     12.52     14.24
          2     33800    100000      9.92     11.60     12.65     14.60
          2     33900    100000      9.57     11.44     12.50     14.36
          2     34000    100000      9.85     11.54     12.57     14.31
          2     34100    100000      9.88     11.62     12.69     14.56
          2     34200    100000      9.70     11.60     12.66     14.49
          2     34300    100000      9.76     11.45     12.50     14.24
          2     34400    100000      9.84     11.61     12.68     14.51
          2     34500    100000      9.86     11.50     12.57     14.37
          2     34600    100000      9.95     11.67     12.73     14.51
          2     34700    100000     10.14     11.73     12.81     14.63
          2     34800    100000      9.95     11.65     12.71     14.46
          2     34900    100000      9.86     11.61     12.67     14.44
          2     35000    100000     10.08     11.74     12.81     14.74
          2     35100    100000     10.01     11.72     12.78     14.56
          2     35200    100000      9.92     11.63     12.70     14.58
          2     35300    100000      9.90     11.65     12.75     14.63
          2     35400    100000      9.71     11.59     12.66     14.43
          2     35500    100000      9.87     11.68     12.75     14.58
          2     35600    100000     10.02     11.82     12.89     14.67
          2     35700    100000     10.02     11.71     12.79     14.66
          2     35800    100000      9.86     11.65     12.74     14.61
          2     35900    100000     10.13     11.84     12.92     14.78
          2     36000    100000     10.10     11.94     13.02     14.92
          2     36100    100000     10.00     11.75     12.84     14.70
          2     36200    100000      9.87     11.70     12.80     14.64
          2     36300    100000     10.12     11.85     12.94     14.80
          2     36400    100000     10.01     11.72     12.80     14.59
          2     36500    100000     10.19     11.87     12.94     14.70
          2     36600    100000      9.94     11.87     12.98     14.67
          2     36700    100000      9.90     11.70     12.79     14.62
          2     36800    100000     10.23     11.95     13.05     15.06
          2     36900    100000     10.20     11.91     12.97     14.70
          2     37000    100000     10.07     11.80     12.89     14.81
          2     37100    100000     10.30     12.00     13.09     15.06
          2     37200    100000     10.23     12.00     13.09     15.39
          2     37300    100000     10.04     11.82     12.92     14.68
          2     37400    100000     10.06     11.89     13.01     14.84
          2     37500    100000     10.01     11.82     12.92     15.00
          2     37600    100000     10.17     11.95     13.06     15.38
          2     37700    100000     10.25     11.98     13.09     15.00
          2     37800    100000     10.15     11.98     13.06     14.69
          2     37900    100000     10.07     11.86     12.96     14.88
          2     38000    100000     10.26     12.03     13.13     15.29
