============================
Servers/machine = 1
Gather Tree		= Flat
Message Size	= 100B
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
         54     32000      1000    382.59    439.96    526.41    560.08
         55     32000      1000    399.62    453.82    540.00   1230.97
         56     32000      1000    397.20    460.11    564.32    613.87
         57     32000      1000    422.70    453.81    491.95    530.69
         58     32000      1000    427.92    466.99    510.05    559.23

============================
Servers/machine = 1
Gather Tree		= Flat
Message Size	= 40KB
============================

#     nodes  size (B)       ops       min       p50       p90       p99
#----------------------------------------------------------------------
          2     40000      1000     12.45     14.40     15.56     16.63
          3     40000      1000     16.28     19.01     20.71     22.93
          4     40000      1000     20.74     23.87     25.88     27.98
          5     40000      1000     24.78     29.01     31.17     33.85
          6     40000      1000     29.76     34.30     36.35     38.74
          7     40000      1000     34.69     39.66     42.02     44.48
          8     40000      1000     38.66     44.04     46.44     49.23
          9     40000      1000     43.97     50.33     52.93     55.76
         10     40000      1000     50.06     55.15     58.01     61.41
         11     40000      1000     54.06     59.59     62.88     65.97
         12     40000      1000     60.44     66.54     70.56     75.94
         13     40000      1000     65.04     71.77     75.08     78.05
         14     40000      1000     69.03     78.24     84.45     91.20
         15     40000      1000     74.40     83.65     90.10     97.20
         16     40000      1000     79.00     91.08     98.27    106.24
         17     40000      1000     83.73     93.20     96.81     99.82
         18     40000      1000     90.87    105.75    113.58    125.28
         19     40000      1000     98.77    112.43    120.20    130.17
         20     40000      1000    105.64    123.73    135.20    151.23
         21     40000      1000    111.39    128.08    136.16    145.64
         22     40000      1000    116.81    139.59    151.57    171.04
         23     40000      1000    131.06    148.99    160.88    174.18
         24     40000      1000    133.52    157.56    172.53    190.16
         25     40000      1000    143.98    163.25    174.53    184.17
         26     40000      1000    151.09    182.82    208.57    225.91
         27     40000      1000    163.00    188.68    203.10    221.46
         28     40000      1000    169.95    207.21    228.34    247.61
         29     40000      1000    182.13    214.10    237.04    268.61
         30     40000      1000    191.42    227.41    252.77    280.32
         31     40000      1000    197.24    229.30    246.72    265.87
         32     40000      1000    210.27    239.67    258.26    279.81
         33     40000      1000    224.43    251.96    291.80    309.50
         34     40000      1000    232.92    265.19    287.20    313.17
         35     40000      1000    243.50    279.75    329.71    358.65
         36     40000      1000    243.02    295.74    328.87    353.31
         37     40000      1000    264.57    291.40    312.66    333.48
         38     40000      1000    270.57    312.93    371.19    390.23
         39     40000      1000    285.26    318.60    342.56    364.50
         40     40000      1000    290.55    335.29    402.18    433.85
         41     40000      1000    312.89    336.21    360.76    380.75
         42     40000      1000    313.08    351.51    377.25    406.11
         43     40000      1000    319.87    363.64    391.78    418.18
         44     40000      1000    335.87    377.85    405.87    437.64
         45     40000      1000    356.49    393.81    472.41    515.07
         46     40000      1000    365.78    403.21    433.95    465.32
         47     40000      1000    370.51    413.28    443.63    471.05
         48     40000      1000    357.77    441.18    506.62    533.92
         49     40000      1000    407.50    437.70    469.12    494.48
         50     40000      1000    405.41    465.11    534.88    566.68
         51     40000      1000    409.31    484.30    554.68    580.29
         52     40000      1000    430.04    470.51    505.01    538.12
         53     40000      1000    434.08    479.81    514.30    688.88
         54     40000      1000    454.55    497.09    533.02    580.72
         55     40000      1000    467.04    508.75    549.76    591.63
         56     40000      1000    472.09    520.80    562.58    610.46
         57     40000      1000    487.17    549.85    639.50    683.88
         58     40000      1000    501.19    543.94    589.69    643.07
